SEP=;
DateTime;CoreBodyTemp [C];TempChangeRate [C/h];TempQuality [1(poor) to 4(excellent)];SkinTemp [C]
19.01.2023 00:00:46;;;;23.18
19.01.2023 00:01:46;;;;23.18
19.01.2023 00:02:46;;;;23.17
19.01.2023 00:03:46;;;;23.17
19.01.2023 00:04:46;;;;23.17
19.01.2023 00:05:46;;;;23.16
19.01.2023 00:06:47;;;;23.16
19.01.2023 00:07:47;;;;23.16
19.01.2023 00:08:47;;;;23.16
19.01.2023 00:09:47;;;;23.16
19.01.2023 00:10:47;;;;23.16
19.01.2023 00:11:47;;;;23.16
19.01.2023 00:12:47;;;;23.16
19.01.2023 00:13:47;;;;23.16
19.01.2023 00:14:47;;;;23.17
19.01.2023 00:15:47;;;;23.17
19.01.2023 00:16:47;;;;23.18
19.01.2023 00:17:47;;;;23.18
19.01.2023 00:18:47;;;;23.18
19.01.2023 00:19:47;;;;23.19
19.01.2023 00:20:47;;;;23.27
19.01.2023 00:21:47;;;;23.53
19.01.2023 00:22:47;37;;1;27.57
19.01.2023 00:23:47;37;;1;30.19
19.01.2023 00:24:47;37;;1;31.27
19.01.2023 00:25:47;37;;1;31.95
19.01.2023 00:26:47;37;;1;32.45
19.01.2023 00:27:47;37;;1;32.8
19.01.2023 00:28:47;37.15;;1;32.99
19.01.2023 00:29:47;37.28;;1;33.28
19.01.2023 00:30:47;37.39;;1;33.63
19.01.2023 00:31:47;37.47;4.86;2;33.97
19.01.2023 00:32:47;37.53;3.9;2;34.27
19.01.2023 00:33:47;37.59;3.3;2;34.55
19.01.2023 00:34:47;37.63;2.7;2;34.79
19.01.2023 00:35:47;37.68;2.7;2;34.86
19.01.2023 00:36:47;37.71;2.16;3;34.84
19.01.2023 00:37:47;37.74;1.8;3;34.81
19.01.2023 00:38:47;37.77;1.5;3;34.79
19.01.2023 00:39:47;37.78;0.9;3;34.76
19.01.2023 00:40:47;37.8;0.9;3;34.75
19.01.2023 00:41:47;37.8;0.36;4;34.8
19.01.2023 00:42:47;37.81;0.3;4;34.8
19.01.2023 00:43:47;37.81;0.3;4;34.83
19.01.2023 00:44:47;37.82;0.3;4;34.89
19.01.2023 00:45:47;37.82;0;4;34.9
19.01.2023 00:46:47;37.82;0.3;4;34.89
19.01.2023 00:47:47;37.82;-0.3;4;34.89
19.01.2023 00:48:47;37.81;-0.3;4;34.82
19.01.2023 00:49:47;37.81;-0.3;4;34.78
19.01.2023 00:50:47;37.8;-0.3;4;34.74
19.01.2023 00:51:47;37.79;-0.6;4;34.73
19.01.2023 00:52:47;37.78;-0.6;4;34.67
19.01.2023 00:53:47;37.77;-0.6;4;34.74
19.01.2023 00:54:47;37.77;-0.3;4;34.75
19.01.2023 00:55:47;37.76;-0.3;4;34.75
19.01.2023 00:56:47;37.76;0;4;34.72
19.01.2023 00:57:47;37.76;-0.3;4;34.72
19.01.2023 00:58:47;37.75;-0.3;4;34.7
19.01.2023 00:59:47;37.75;0;4;34.67
19.01.2023 01:00:47;37.75;-0.3;4;34.6
19.01.2023 01:01:47;37.74;-0.3;4;34.57
19.01.2023 01:02:47;37.74;-0.3;4;34.65
19.01.2023 01:03:47;37.74;0;4;34.62
19.01.2023 01:04:47;37.73;-0.3;4;34.57
19.01.2023 01:05:47;37.73;-0.3;4;34.43
19.01.2023 01:06:47;37.72;-0.3;4;34.31
19.01.2023 01:07:47;37.72;-0.3;4;34.23
19.01.2023 01:08:47;37.71;-0.6;4;34.22
19.01.2023 01:09:47;37.7;-0.6;4;34.23
19.01.2023 01:10:47;37.68;-0.9;4;34.27
19.01.2023 01:11:47;37.67;-0.6;4;34.27
19.01.2023 01:12:47;37.66;-0.9;4;34.16
19.01.2023 01:13:47;37.64;-1.2;4;34.08
19.01.2023 01:14:47;37.62;-0.9;4;34.03
19.01.2023 01:15:47;37.6;-1.5;4;34.05
19.01.2023 01:16:47;37.57;-1.5;4;34.07
19.01.2023 01:17:47;37.55;-1.5;4;34.1
19.01.2023 01:18:47;37.53;-1.2;4;34.17
19.01.2023 01:19:47;37.51;-1.2;4;34.13
19.01.2023 01:20:47;37.5;-0.6;4;34.05
19.01.2023 01:21:47;37.48;-0.9;4;34
19.01.2023 01:22:47;37.47;-0.66;3;33.97
19.01.2023 01:23:47;37.46;-0.6;3;33.94
19.01.2023 01:24:47;37.45;-0.6;3;33.93
19.01.2023 01:25:47;37.44;-0.6;3;33.92
19.01.2023 01:26:47;37.43;-0.6;3;33.9
19.01.2023 01:27:47;37.43;-0.3;3;33.78
19.01.2023 01:28:47;37.42;-0.6;3;33.76
19.01.2023 01:29:47;37.41;-0.3;3;33.74
19.01.2023 01:30:47;37.41;-0.3;3;33.72
