SEP=;
DateTime;CoreBodyTemp [C];TempChangeRate [C/h];TempQuality [1(poor) to 4(excellent)];SkinTemp [C]
19.12.2022 00:00:46;37.03;0;4;34.2
19.12.2022 00:01:46;37.02;-0.3;4;34.24
19.12.2022 00:02:46;37.01;-0.6;4;34.31
19.12.2022 00:03:46;37.01;-0.3;4;34.35
19.12.2022 00:04:46;37;-0.3;4;34.37
19.12.2022 00:05:46;37;-0.3;4;34.38
19.12.2022 00:06:46;36.99;-0.3;4;34.44
19.12.2022 00:07:46;36.99;-0.3;4;34.48
19.12.2022 00:08:46;36.99;0;4;34.46
19.12.2022 00:09:46;36.98;-0.3;4;34.47
19.12.2022 00:10:46;36.98;-0.3;4;34.65
19.12.2022 00:11:46;36.98;0;4;34.7
19.12.2022 00:12:46;36.98;0.3;4;34.76
19.12.2022 00:13:46;36.99;0.3;4;34.7
19.12.2022 00:14:46;36.99;0.3;4;34.68
19.12.2022 00:15:46;36.99;0;4;34.61
19.12.2022 00:16:46;36.99;0;4;34.51
19.12.2022 00:17:46;37;0.3;4;34.37
19.12.2022 00:18:46;36.99;-0.6;4;34.5
19.12.2022 00:19:46;36.99;0;4;34.39
19.12.2022 00:20:46;36.98;-0.3;4;34.41
19.12.2022 00:21:46;36.98;-0.3;4;34.54
19.12.2022 00:22:46;36.98;0;4;34.49
19.12.2022 00:23:46;36.98;0.3;4;34.39
19.12.2022 00:24:46;36.98;0;4;34.33
19.12.2022 00:25:46;36.98;0;4;34.35
19.12.2022 00:26:46;36.98;0;4;34.4
19.12.2022 00:27:46;36.98;0;4;34.52
19.12.2022 00:28:46;36.98;0;4;34.67
19.12.2022 00:29:46;36.98;0;4;34.65
19.12.2022 00:30:46;36.98;0;4;34.49
19.12.2022 00:31:46;36.98;0;4;34.34
19.12.2022 00:32:46;36.98;0;4;34.35
19.12.2022 00:33:46;36.98;0;4;34.36
19.12.2022 00:34:46;36.98;0;4;34.36
19.12.2022 00:35:46;36.98;0;4;34.35
19.12.2022 00:36:46;36.98;0;4;34.39
19.12.2022 00:37:46;36.98;0;4;34.34
19.12.2022 00:38:46;36.98;0;4;34.31
19.12.2022 00:39:46;36.98;0;4;34.14
19.12.2022 00:40:45;36.98;-0.06;3;33.91
19.12.2022 00:41:45;36.98;-0.3;3;33.68
19.12.2022 00:42:45;36.97;-0.3;3;33.56
19.12.2022 00:43:45;36.97;-0.3;3;33.64
19.12.2022 00:44:45;36.97;0.3;3;33.68
19.12.2022 00:45:45;36.98;0.3;3;33.77
19.12.2022 00:46:45;36.98;0.3;3;33.89
19.12.2022 00:47:45;36.99;0.3;3;33.93
19.12.2022 00:48:45;36.99;0.3;3;33.97
19.12.2022 00:49:45;36.99;0.06;4;34.13
19.12.2022 00:50:45;37;0.3;4;34.1
19.12.2022 00:51:45;36.99;-0.3;4;34.07
19.12.2022 00:52:46;36.99;0;4;34.1
19.12.2022 00:53:46;37;0.3;4;34.18
19.12.2022 00:54:46;37;0;4;34.18
19.12.2022 00:55:46;37;0;4;34.3
19.12.2022 00:56:46;37;0;4;34.36
