SEP=;
DateTime;CoreBodyTemp [C];TempChangeRate [C/h];TempQuality [1(poor) to 4(excellent)];SkinTemp [C]
17.01.2023 00:00:18;36.89;;1;28.54
17.01.2023 00:01:18;36.89;;1;29.61
17.01.2023 00:02:18;36.89;0.12;3;30.16
17.01.2023 00:03:18;36.88;-0.66;2;30.52
17.01.2023 00:04:18;36.89;0.6;2;30.87
17.01.2023 00:05:18;36.91;0.96;3;31.18
17.01.2023 00:06:18;36.92;0.9;3;31.46
17.01.2023 00:07:18;36.94;0.9;3;31.71
17.01.2023 00:08:18;36.95;0.6;3;31.92
17.01.2023 00:09:18;36.96;0.9;3;32.12
17.01.2023 00:10:18;36.97;0.6;3;32.31
17.01.2023 00:11:18;36.98;0.6;3;32.48
17.01.2023 00:12:18;36.99;0.6;3;32.63
17.01.2023 00:13:18;37;0.6;3;32.77
17.01.2023 00:14:18;37.01;0.3;3;32.89
17.01.2023 00:15:18;37.01;0.3;3;33
17.01.2023 00:16:18;37.02;0.3;3;33.1
17.01.2023 00:17:18;37.02;0.3;3;33.19
17.01.2023 00:18:18;37.03;0.3;3;33.26
17.01.2023 00:19:18;37.03;0.3;3;33.31
17.01.2023 00:20:18;37.03;0;3;33.36
17.01.2023 00:21:18;37.04;0.3;3;33.42
17.01.2023 00:22:18;37.04;0;3;33.46
17.01.2023 00:23:18;37.04;0;3;33.5
17.01.2023 00:24:18;37.04;0;3;33.53
17.01.2023 00:25:18;37.04;0;3;33.58
17.01.2023 00:26:18;37.04;0;3;33.64
17.01.2023 00:27:18;37.03;-0.3;3;33.69
17.01.2023 00:28:18;37.03;0;3;33.75
17.01.2023 00:29:18;37.03;0;3;33.81
17.01.2023 00:30:18;37.03;-0.3;3;33.88
17.01.2023 00:31:18;37.03;0;3;33.93
17.01.2023 00:32:18;37.03;0;3;33.98
17.01.2023 00:33:18;37.02;-0.24;4;34.03
17.01.2023 00:34:18;37.02;0;4;34.09
17.01.2023 00:35:18;37.02;-0.3;4;34.15
17.01.2023 00:36:18;37.02;0;4;34.21
17.01.2023 00:37:18;37.02;0;4;34.28
17.01.2023 00:38:18;37.02;0;4;34.33
17.01.2023 00:39:18;37.02;0;4;34.39
17.01.2023 00:40:18;37.02;0;4;34.43
17.01.2023 00:41:18;37.02;0;4;34.47
17.01.2023 00:42:18;37.02;0;4;34.51
17.01.2023 00:43:18;37.01;-0.3;4;34.54
17.01.2023 00:44:18;37.01;-0.3;4;34.58
17.01.2023 00:45:18;37.01;0;4;34.61
17.01.2023 00:46:18;37;-0.3;4;34.64
17.01.2023 00:47:18;37;-0.3;4;34.69
17.01.2023 00:48:18;36.99;-0.6;4;34.73
17.01.2023 00:49:18;36.98;-0.3;4;34.76
17.01.2023 00:50:18;36.97;-0.6;4;34.8
17.01.2023 00:51:18;36.96;-0.6;4;34.84
17.01.2023 00:52:18;36.95;-0.6;4;34.89
17.01.2023 00:53:18;36.94;-0.6;4;34.94
17.01.2023 00:54:18;36.93;-0.6;4;34.97
17.01.2023 00:55:18;36.92;-0.6;4;35.01
17.01.2023 00:56:18;36.92;-0.3;4;35.06
17.01.2023 00:57:18;36.91;-0.6;4;35.09
17.01.2023 00:58:18;36.9;-0.3;4;35.12
17.01.2023 00:59:18;36.9;-0.3;4;35.16
17.01.2023 01:00:18;36.9;0;4;35.2
17.01.2023 01:01:18;36.9;0;4;35.28
17.01.2023 01:02:18;36.9;0.3;4;35.3
17.01.2023 01:03:18;36.9;0;4;35.33
17.01.2023 01:04:18;36.91;0.3;4;35.36
17.01.2023 01:05:18;36.91;0.3;4;35.42
17.01.2023 01:06:18;36.92;0.3;4;35.45
17.01.2023 01:07:18;36.93;0.6;4;35.43
17.01.2023 01:08:18;36.94;0.6;4;35.42
17.01.2023 01:09:18;36.94;0.3;4;35.41
17.01.2023 01:10:18;36.95;0.3;4;35.39
17.01.2023 01:11:18;36.95;0.3;4;35.39
17.01.2023 01:12:18;36.95;0;4;35.38
17.01.2023 01:13:18;36.95;-0.3;4;35.38
17.01.2023 01:14:18;36.95;0;4;35.38
17.01.2023 01:15:18;36.95;0;4;35.37
17.01.2023 01:16:18;36.94;-0.3;4;35.37
17.01.2023 01:17:18;36.94;0;4;35.37
17.01.2023 01:18:18;36.94;-0.3;4;35.38
17.01.2023 01:19:18;36.94;0.3;4;35.37
17.01.2023 01:20:18;36.95;0.6;4;35.36
17.01.2023 01:21:18;36.97;0.9;4;35.36
17.01.2023 01:22:18;36.97;0.3;4;35.36
17.01.2023 01:23:18;36.98;0.3;4;35.37
17.01.2023 01:24:18;36.98;0.3;4;35.38
17.01.2023 01:25:18;36.99;0.3;4;35.4
17.01.2023 01:26:18;37;0.6;4;35.42
17.01.2023 01:27:18;37;0;4;35.44
17.01.2023 01:28:18;37;0.3;4;35.44
17.01.2023 01:29:18;37;0;4;35.47
17.01.2023 01:30:18;37.01;0.3;4;35.5
17.01.2023 01:31:18;37.01;0.3;4;35.51
17.01.2023 01:32:18;37.02;0.3;4;35.53
17.01.2023 01:33:18;37.02;0;4;35.56
17.01.2023 01:34:18;37.03;0.6;4;35.58
17.01.2023 01:35:18;37.03;0.3;4;35.59
17.01.2023 01:36:18;37.04;0.3;4;35.6
17.01.2023 01:37:18;37.04;0;4;35.61
17.01.2023 01:38:18;37.04;0.3;4;35.62
17.01.2023 01:39:18;37.06;0.9;4;35.64
17.01.2023 01:40:18;37.07;0.6;4;35.66
17.01.2023 01:41:18;37.08;0.6;4;35.69
17.01.2023 01:42:18;37.08;0.3;4;35.71
17.01.2023 01:43:18;37.09;0.6;4;35.72
17.01.2023 01:44:18;37.09;0;4;35.72
17.01.2023 01:45:18;37.09;0;4;35.73
17.01.2023 01:46:18;37.09;0;4;35.74
17.01.2023 01:47:18;37.1;0.3;4;35.74
17.01.2023 01:48:18;37.1;0.3;4;35.74
17.01.2023 01:49:18;37.1;0;4;35.74
17.01.2023 01:50:18;37.1;-0.3;4;35.74
17.01.2023 01:51:18;37.09;-0.3;4;35.75
17.01.2023 01:52:18;37.08;-0.6;4;35.75
17.01.2023 01:53:18;37.07;-0.6;4;35.76
17.01.2023 01:54:18;37.07;-0.3;4;35.77
17.01.2023 01:55:18;37.07;0;4;35.78
17.01.2023 01:56:18;37.07;0;4;35.79
17.01.2023 01:57:18;37.07;0;4;35.8
17.01.2023 01:58:18;37.07;0.3;4;35.8
17.01.2023 01:59:18;37.08;0.3;4;35.79
17.01.2023 02:00:18;37.08;0.3;4;35.78
17.01.2023 02:01:18;37.08;-0.3;4;35.79
17.01.2023 02:02:18;37.09;0.6;4;35.8
17.01.2023 02:03:18;37.1;0.9;4;35.81
17.01.2023 02:04:18;37.12;0.9;4;35.81
17.01.2023 02:05:18;37.13;0.6;4;35.8
17.01.2023 02:06:18;37.14;0.6;4;35.8
17.01.2023 02:07:18;37.15;0.6;4;35.79
17.01.2023 02:08:18;37.15;0.3;4;35.78
17.01.2023 02:09:18;37.15;0;4;35.78
17.01.2023 02:10:18;37.15;-0.3;4;35.77
17.01.2023 02:11:18;37.14;-0.3;4;35.78
17.01.2023 02:12:18;37.14;0;4;35.8
17.01.2023 02:13:18;37.14;-0.3;4;35.81
17.01.2023 02:14:18;37.14;0.3;4;35.8
17.01.2023 02:15:18;37.14;0;4;35.77
17.01.2023 02:16:18;37.14;0;4;35.77
17.01.2023 02:17:18;37.14;-0.3;4;35.77
17.01.2023 02:18:18;37.13;-0.3;4;35.76
17.01.2023 02:19:18;37.12;-0.6;4;35.75
17.01.2023 02:20:18;37.12;-0.3;4;35.75
17.01.2023 02:21:18;37.11;-0.3;4;35.75
17.01.2023 02:22:18;37.11;0;4;35.75
17.01.2023 02:23:18;37.12;0.3;4;35.75
17.01.2023 02:24:18;37.12;0.3;4;35.75
17.01.2023 02:25:18;37.12;0;4;35.77
17.01.2023 02:26:18;37.13;0.3;4;35.79
17.01.2023 02:27:18;37.13;0.3;4;35.8
17.01.2023 02:28:18;37.14;0.6;4;35.81
17.01.2023 02:29:18;37.16;0.9;4;35.82
17.01.2023 02:30:18;37.17;0.9;4;35.83
17.01.2023 02:31:18;37.18;0.6;4;35.82
17.01.2023 02:32:18;37.19;0.3;4;35.81
17.01.2023 02:33:18;37.19;0;4;35.8
17.01.2023 02:34:18;37.19;0.3;4;35.81
17.01.2023 02:35:18;37.2;0.3;4;35.84
17.01.2023 02:36:18;37.2;0;4;35.86
17.01.2023 02:37:18;37.2;0.3;4;35.88
17.01.2023 02:38:18;37.2;0;4;35.87
17.01.2023 02:39:18;37.21;0.6;4;35.85
17.01.2023 02:40:18;37.21;0;4;35.84
17.01.2023 02:41:18;37.22;0.6;4;35.84
17.01.2023 02:42:18;37.23;0.6;4;35.83
17.01.2023 02:43:18;37.24;0.3;4;35.83
17.01.2023 02:44:18;37.25;0.6;4;35.84
17.01.2023 02:45:18;37.25;0;4;35.84
17.01.2023 02:46:18;37.25;0.3;4;35.84
17.01.2023 02:47:18;37.26;0.3;4;35.85
17.01.2023 02:48:18;37.26;0.3;4;35.85
17.01.2023 02:49:18;37.26;0;4;35.86
17.01.2023 02:50:18;37.26;0;4;35.86
17.01.2023 02:51:18;37.26;0;4;35.86
17.01.2023 02:52:18;37.27;0.3;4;35.84
17.01.2023 02:53:18;37.27;0;4;35.84
17.01.2023 02:54:18;37.27;0.3;4;35.84
17.01.2023 02:55:18;37.28;0.3;4;35.84
17.01.2023 02:56:18;37.29;0.6;4;35.84
17.01.2023 02:57:18;37.3;0.6;4;35.84
17.01.2023 02:58:18;37.31;0.6;4;35.84
17.01.2023 02:59:18;37.32;0.6;4;35.86
17.01.2023 03:00:18;37.34;1.2;4;35.89
17.01.2023 03:01:18;37.35;0.9;4;35.89
17.01.2023 03:02:18;37.37;0.9;4;35.89
17.01.2023 03:03:18;37.37;0.3;4;35.9
17.01.2023 03:04:18;37.38;0.3;4;35.91
17.01.2023 03:05:18;37.38;0.3;4;35.92
17.01.2023 03:06:18;37.38;0;4;35.93
17.01.2023 03:07:18;37.38;-0.3;4;35.93
17.01.2023 03:08:18;37.37;-0.3;4;35.9
17.01.2023 03:09:18;37.37;-0.3;4;35.87
17.01.2023 03:10:18;37.36;-0.6;4;35.86
17.01.2023 03:11:18;37.35;-0.3;4;35.84
17.01.2023 03:12:18;37.34;-0.6;4;35.81
17.01.2023 03:13:18;37.33;-0.9;4;35.8
17.01.2023 03:14:18;37.31;-0.9;4;35.81
17.01.2023 03:15:18;37.29;-1.2;4;35.84
17.01.2023 03:16:18;37.28;-0.9;4;35.89
17.01.2023 03:17:18;37.26;-0.9;4;35.97
17.01.2023 03:18:18;37.25;-0.6;4;36.04
17.01.2023 03:19:18;37.24;-0.9;4;36.04
17.01.2023 03:20:18;37.22;-0.9;4;36.03
